entry_time,exit_time,side,lots,entry,exit,gross_pnl,fees,net_pnl,reason
2024-09-24 11:00:00,2024-09-30 09:00:00,3,3,2659.10009765625,2674.39990234375,1376.982421875,14.005799926757813,1362.9766219482422,stop_hit
2024-10-04 12:00:00,2024-10-07 09:00:00,4,4,2683.89990234375,2665.699951171875,-2911.9921875,18.665699951171874,-2930.657887451172,stop_hit
2024-10-14 10:00:00,2024-10-15 13:00:00,3,3,2672.10009765625,2658.39990234375,-1233.017578125,13.993799926757813,-1247.011378051758,stop_hit
2024-10-16 09:00:00,2024-10-24 09:00:00,3,3,2684.199951171875,2736.699951171875,4725.0,14.052524963378907,4710.947475036621,stop_hit
2024-10-30 09:00:00,2024-11-01 09:00:00,3,3,2793.89990234375,2759.60009765625,-3086.982421875,14.069700073242188,-3101.052121948242,stop_hit
2024-11-19 09:00:00,2024-11-25 11:00:00,2,2,2619.699951171875,2674.0,2172.001953125,9.337,2162.664953125,stop_hit
2024-12-04 13:00:00,2024-12-06 09:00:00,1,1,2671.699951171875,2640.5,-311.99951171875,4.660125,-316.65963671875,stop_hit
2024-12-10 09:00:00,2024-12-13 13:00:00,1,1,2690.300048828125,2709.10009765625,188.00048828125,4.677275024414063,183.32321325683594,stop_hit
2024-12-27 09:00:00,2024-12-30 09:00:00,3,3,2650.60009765625,2637.699951171875,-1161.01318359375,13.978274963378906,-1174.991458557129,stop_hit
2025-01-03 09:00:00,2025-01-06 09:00:00,2,2,2673.60009765625,2654.199951171875,-776.005859375,9.327099975585938,-785.332959350586,stop_hit
2025-01-10 09:00:00,2025-01-14 09:00:00,3,3,2694.60009765625,2686.60009765625,-720.0,14.014950073242188,-734.0149500732422,stop_hit
2025-01-16 09:00:00,2025-01-27 10:00:00,2,2,2727.39990234375,2761.5,1364.00390625,9.38075,1354.62315625,stop_hit
2025-01-31 09:00:00,2025-01-31 10:00:00,2,2,2849.300048828125,2848.39990234375,-36.005859375,9.424199951171875,-45.43005932617187,stop_hit
2025-02-04 09:00:00,2025-02-12 09:00:00,1,1,2857.0,2920.800048828125,638.00048828125,4.730200012207031,633.270288269043,stop_hit
2025-02-25 09:00:00,2025-02-26 09:00:00,2,2,2965.60009765625,2930.699951171875,-1396.005859375,9.465349975585937,-1405.471209350586,stop_hit
2025-03-05 13:00:00,2025-03-11 09:00:00,2,2,2929.10009765625,2892.699951171875,-1456.005859375,9.446349975585937,-1465.452209350586,stop_hit
2025-03-13 09:00:00,2025-03-21 13:00:00,2,2,2946.300048828125,3035.199951171875,3555.99609375,9.517599975585938,3546.478493774414,stop_hit
2025-03-27 12:00:00,2025-04-04 10:00:00,3,3,3039.800048828125,3117.300048828125,6975.0,14.337975036621094,6960.662024963379,stop_hit
2025-04-10 10:00:00,2025-04-23 09:00:00,1,1,3135.39990234375,3388.800048828125,2534.00146484375,4.847200012207031,2529.154264831543,stop_hit
2025-05-06 09:00:00,2025-05-09 09:00:00,1,1,3388.89990234375,3295.89990234375,-930.0,4.823974975585937,-934.8239749755859,stop_hit
2025-05-21 09:00:00,2025-05-28 09:00:00,1,1,3296.800048828125,3300.0,31.99951171875,4.825,27.17451171875,stop_hit
2025-06-02 13:00:00,2025-06-09 09:00:00,1,1,3347.800048828125,3315.5,-323.00048828125,4.828875,-327.82936328125,stop_hit
2025-06-13 09:00:00,2025-06-17 09:00:00,2,2,3449.0,3412.60009765625,-1455.99609375,9.706300048828124,-1465.702393798828,stop_hit
2025-07-03 09:00:00,2025-07-07 09:00:00,3,3,3356.699951171875,3325.300048828125,-2825.9912109375,14.493975036621094,-2840.485185974121,stop_hit
2025-07-14 12:00:00,2025-07-16 09:00:00,2,2,3373.89990234375,3336.89990234375,-1480.0,9.668449951171874,-1489.6684499511719,stop_hit
2025-07-22 09:00:00,2025-07-24 09:00:00,2,2,3400.89990234375,3392.89990234375,-320.0,9.696449951171875,-329.69644995117187,stop_hit
2025-08-04 09:00:00,2025-08-11 09:00:00,2,2,3405.199951171875,3442.199951171875,1480.0,9.721099975585938,1470.278900024414,stop_hit
2025-08-25 09:00:00,2025-09-15 09:00:00,3,3,3407.800048828125,3671.89990234375,23768.98681640625,14.753924926757813,23754.232891479493,stop_hit
2025-09-16 09:00:00,2025-09-18 09:00:00,3,3,3717.699951171875,3692.60009765625,-2258.98681640625,14.769450073242188,-2273.7562664794923,stop_hit
2025-09-23 09:00:00,2025-10-03 11:00:00,2,2,3790.39990234375,3865.800048828125,3016.005859375,9.932900024414062,3006.0729593505857,stop_hit
2025-10-06 09:00:00,2025-10-10 09:00:00,2,2,3943.300048828125,3987.89990234375,1783.994140625,9.993949951171874,1774.0001906738282,stop_hit
2025-10-13 09:00:00,2025-10-20 09:00:00,1,1,4072.0,4274.2998046875,2022.998046875,5.068574951171875,2017.929471923828,stop_hit
2025-11-10 09:00:00,2025-11-17 09:00:00,2,2,4052.89990234375,4092.199951171875,1572.001953125,10.046099975585937,1561.955853149414,stop_hit
2025-11-25 09:00:00,2025-12-04 13:00:00,1,1,4132.0,4210.2998046875,782.998046875,5.052574951171875,777.9454719238281,stop_hit
2025-12-11 09:00:00,2025-12-11 11:00:00,2,2,4267.7001953125,4244.60009765625,-924.00390625,10.122300048828125,-934.1262062988282,stop_hit
2025-12-12 09:00:00,2025-12-16 13:00:00,2,2,4302.10009765625,4309.89990234375,311.9921875,10.154949951171876,301.8372375488281,stop_hit
2025-12-22 09:00:00,2025-12-30 09:00:00,2,2,4415.60009765625,4374.7001953125,-1635.99609375,10.18735009765625,-1646.1834438476562,stop_hit
2026-01-12 09:00:00,2026-01-15 11:00:00,1,1,4582.10009765625,4596.10009765625,140.0,5.149025024414063,134.85097497558593,stop_hit
2026-01-19 12:00:00,2026-01-30 09:00:00,1,1,4671.2001953125,5331.7001953125,6605.0,5.332925048828125,6599.667074951172,stop_hit
2026-02-11 10:00:00,2026-02-13 09:00:00,1,1,5079.2001953125,4999.7998046875,-794.00390625,5.249949951171875,-799.2538562011719,stop_hit
2026-02-23 09:00:00,2026-03-04 09:00:00,1,1,5179.39990234375,5183.7001953125,43.0029296875,5.295925048828125,37.707004638671876,stop_hit
2026-03-11 09:00:00,2026-03-12 12:00:00,1,1,5215.89990234375,5147.39990234375,-685.0,5.2868499755859375,-690.2868499755859,stop_hit
2026-03-31 09:00:00,2026-04-02 13:00:00,1,1,4635.5,4622.10009765625,-133.9990234375,5.155525024414063,-139.15454846191406,stop_hit
2026-04-08 09:00:00,2026-04-09 09:00:00,1,1,4838.60009765625,4751.2001953125,-873.9990234375,5.187800048828125,-879.1868234863281,stop_hit
2026-04-15 09:00:00,2026-04-17 09:00:00,1,1,4871.0,4810.2001953125,-607.998046875,5.202550048828125,-613.2005969238281,stop_hit
